Pos,ID,Name,BV,SV,Team,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,Elite%
M,1,Fábio Vieira,5.4,5.4,Arsenal,0,0.00,4,0.23,7,0.38,9,0.67,9,0.70,10,0.61,9,0.56,11,0.63,0.00
F,2,G.Jesus,6.8,6.8,Arsenal,1,0.10,30,1.84,33,1.59,35,2.85,35,2.94,35,2.29,35,2.15,37,2.30,0.00
D,3,Gabriel,6.0,6.0,Arsenal,88,4.26,86,3.19,83,2.40,81,4.75,81,4.74,80,3.64,78,3.06,77,3.08,0.45
F,4,Havertz,8.1,8.1,Arsenal,90,5.50,84,4.23,81,3.09,80,5.62,79,5.85,79,4.23,78,4.14,78,4.14,0.01
G,5,Hein,4.0,4.0,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,6,J.Timber,5.5,5.5,Arsenal,58,2.85,50,1.91,48,1.49,48,2.78,45,2.60,46,2.12,46,1.80,45,1.84,0.00
M,7,Jorginho,4.9,4.9,Arsenal,22,0.93,19,0.79,20,0.77,23,1.05,21,0.96,21,0.88,22,0.88,23,0.94,0.00
D,8,Kiwior,4.9,4.9,Arsenal,5,0.23,5,0.18,5,0.17,7,0.33,7,0.33,6,0.27,6,0.22,8,0.30,0.00
M,9,Martinelli,7.0,7.0,Arsenal,51,3.58,43,2.58,43,2.04,41,3.28,44,3.58,43,2.69,43,2.54,43,2.63,0.00
M,10,Nelson,5.0,5.0,Arsenal,6,0.45,3,0.26,6,0.32,8,0.58,8,0.59,7,0.45,8,0.48,7,0.47,0.00
F,11,Nketiah,5.9,5.9,Nott'm Forest,30,1.84,31,1.23,36,1.64,35,1.91,35,1.52,35,1.79,35,1.85,35,1.91,0.00
M,12,Nwaneri,4.5,4.5,Arsenal,11,0.56,7,0.40,8,0.38,9,0.50,10,0.57,10,0.51,9,0.46,10,0.49,0.00
M,13,Ødegaard,8.5,8.5,Arsenal,90,5.45,88,4.44,88,3.45,84,6.12,84,6.26,84,4.70,84,4.53,85,4.61,0.03
