Pos,ID,Name,BV,SV,Team,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts,Elite%
M,1,Fábio Vieira,5.4,5.4,Arsenal,0,0.00,0,0.00,0,0.00,0.00
F,2,G.Jesus,6.5,6.5,Arsenal,0,0.00,0,0.00,0,0.00,0.00
D,3,Gabriel,6.2,6.2,Arsenal,0,0.00,0,0.00,0,0.00,0.01
F,4,Havertz,7.7,7.7,Arsenal,0,0.00,0,0.00,18,1.28,0.00
G,5,Hein,4.0,4.0,Arsenal,0,0.00,0,0.00,0,0.00,0.00
D,6,J.Timber,5.6,5.6,Arsenal,65,1.89,76,3.00,71,3.71,0.03
M,7,Jorginho,4.6,4.6,Arsenal,19,0.72,20,0.79,22,0.94,0.00
D,8,Kiwior,4.8,4.8,Arsenal,84,2.19,78,2.87,73,3.56,0.40
M,9,Martinelli,6.5,6.5,Arsenal,55,2.69,58,3.23,55,3.93,0.00
M,10,Nelson,5.0,5.0,Fulham,0,0.00,0,0.00,0,0.00,0.00
F,11,Nketiah,5.9,5.9,Crystal Palace,41,2.26,40,2.17,41,1.77,0.00
M,12,Nwaneri,4.4,4.4,Arsenal,30,1.43,32,1.69,34,2.16,0.00
M,13,Ødegaard,8.2,8.2,Arsenal,84,3.31,82,3.74,79,4.49,0.00
G,14,Ramsdale,4.4,4.4,Southampton,93,2.94,93,3.13,92,2.94,0.00
G,15,Raya,5.6,5.5,Arsenal,94,3.38,92,3.63,92,4.17,0.69
M,16,Rice,6.2,6.2,Arsenal,82,2.61,80,2.86,76,3.35,0.00
M,17,Saka,10.3,10.3,Arsenal,81,4.42,80,5.07,78,6.28,0.13
D,18,Saliba,6.5,6.5,Arsenal,90,2.34,87,3.25,84,4.16,0.63
M,19,Smith Rowe,5.1,5.1,Fulham,57,2.95,50,2.40,46,2.07,0.00
M,20,Thomas,4.9,4.9,Arsenal,72,2.05,69,2.18,67,2.54,0.00
D,21,Tierney,4.3,4.3,Arsenal,11,0.43,12,0.53,13,0.67,0.00
D,22,Tomiyasu,4.8,4.8,Arsenal,0,0.00,0,0.00,0,0.00,0.00
M,23,Trossard,6.8,6.8,Arsenal,56,2.71,49,2.94,49,3.56,0.01
D,24,White,6.1,6.1,Arsenal,42,1.25,41,1.66,46,2.36,0.00
D,25,Zinchenko,4.8,4.8,Arsenal,12,0.45,15,0.66,15,0.80,0.00
D,26,Alex Moreno,4.2,4.2,Nott'm Forest,11,0.59,15,0.60,17,0.62,0.00
F,27,Archer,4.8,4.8,Southampton,21,1.05,25,1.29,26,1.29,0.00
M,28,Bailey,6.2,6.2,Aston Villa,14,0.81,15,1.09,14,0.84,0.00
M,29,Barkley,5.2,5.2,Aston Villa,28,1.40,21,1.31,19,0.99,0.00
M,30,Barrenechea,4.9,4.9,Aston Villa,0,0.00,0,0.00,0,0.00,0.00
M,31,Buendia,5.1,5.1,Aston Villa,0,0.00,0,0.00,0,0.00,0.00
D,32,Cash,4.4,4.4,Aston Villa,75,2.44,74,3.34,70,2.69,0.00
