Pos,ID,Name,BV,SV,Team,37_xMins,37_Pts,38_xMins,38_Pts,Elite%
M,1,Fábio Vieira,5.4,5.4,Arsenal,0,0.00,0,0.00,0.00
F,2,G.Jesus,6.5,6.5,Arsenal,0,0.00,0,0.00,0.00
D,3,Gabriel,6.2,6.2,Arsenal,0,0.00,0,0.00,0.00
F,4,Havertz,7.7,7.7,Arsenal,0,0.00,18,1.30,0.00
G,5,Hein,4.0,4.0,Arsenal,0,0.00,0,0.00,0.00
D,6,J.Timber,5.6,5.6,Arsenal,77,3.09,70,3.81,0.02
M,7,Jorginho,4.6,4.6,Arsenal,25,0.98,20,0.86,0.00
D,8,Kiwior,4.8,4.8,Arsenal,79,2.85,74,3.62,0.39
M,9,Martinelli,6.5,6.5,Arsenal,74,4.33,62,4.61,0.00
M,10,Nelson,5.0,5.0,Fulham,0,0.00,0,0.00,0.00
F,11,Nketiah,5.9,5.9,Crystal Palace,41,2.12,38,1.75,0.00
M,12,Nwaneri,4.3,4.3,Arsenal,55,2.93,34,2.23,0.00
M,13,Ødegaard,8.2,8.2,Arsenal,85,4.00,80,4.78,0.00
G,14,Ramsdale,4.4,4.4,Southampton,94,3.10,93,2.92,0.00
G,15,Raya,5.5,5.5,Arsenal,93,3.64,92,4.20,0.69
M,16,Rice,6.2,6.2,Arsenal,63,2.35,80,3.64,0.00
M,17,Saka,10.3,10.3,Arsenal,85,5.69,79,6.74,0.12
D,18,Saliba,6.5,6.5,Arsenal,91,3.35,87,4.35,0.59
M,19,Smith Rowe,5.1,5.1,Fulham,49,2.29,45,2.05,0.00
M,20,Thomas,4.9,4.9,Arsenal,76,2.48,71,2.75,0.00
D,21,Tierney,4.3,4.3,Arsenal,17,0.78,13,0.69,0.00
D,22,Tomiyasu,4.8,4.8,Arsenal,0,0.00,0,0.00,0.00
M,23,Trossard,6.8,6.8,Arsenal,37,2.30,25,1.97,0.01
D,24,White,6.1,6.1,Arsenal,37,1.50,46,2.42,0.00
D,25,Zinchenko,4.8,4.8,Arsenal,26,1.18,15,0.82,0.00
D,26,Alex Moreno,4.2,4.2,Nott'm Forest,10,0.39,13,0.48,0.00
F,27,Archer,4.8,4.8,Southampton,23,1.22,24,1.19,0.00
M,28,Bailey,6.2,6.2,Aston Villa,27,1.97,15,0.89,0.00
M,29,Barkley,5.2,5.2,Aston Villa,39,2.47,23,1.15,0.00
M,30,Barrenechea,4.9,4.9,Aston Villa,0,0.00,0,0.00,0.00
M,31,Buendia,5.1,5.1,Aston Villa,0,0.00,0,0.00,0.00
D,32,Cash,4.4,4.4,Aston Villa,74,3.50,74,2.92,0.00
M,33,Dendoncker,4.5,4.5,Aston Villa,0,0.00,0,0.00,0.00
M,34,Diaby,6.5,6.5,Aston Villa,0,0.00,0,0.00,0.00
D,35,Diego Carlos,4.5,4.5,Aston Villa,0,0.00,0,0.00,0.00
D,36,Digne,4.4,4.4,Aston Villa,52,2.69,49,2.12,0.01
M,37,Dobbin,5.0,5.0,Aston Villa,0,0.00,0,0.00,0.00
F,38,Duran,5.7,5.7,Aston Villa,0,0.00,0,0.00,0.00
G,39,Gauci,4.0,4.0,Aston Villa,0,0.00,0,0.00,0.00
D,40,Hause,3.9,3.9,Aston Villa,0,0.00,0,0.00,0.00
M,41,Iling Jr,5.4,5.4,Aston Villa,0,0.00,0,0.00,0.00
M,42,Kamara,5.0,5.0,Aston Villa,86,2.72,82,2.33,0.00
D,43,Kesler-Hayden,4.0,4.0,Aston Villa,0,0.00,0,0.00,0.00
D,44,Konsa,4.4,4.4,Aston Villa,91,3.73,88,3.20,0.48
D,45,Maatsen,4.5,4.5,Aston Villa,48,2.48,49,2.14,0.00
G,46,Marschall,4.0,4.0,Aston Villa,0,0.00,0,0.00,0.00
