Pos,ID,Name,BV,SV,Team,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,Elite%
M,1,Fábio Vieira,5.4,5.4,Arsenal,10,0.66,7,0.47,8,0.45,10,0.71,10,0.72,11,0.65,11,0.62,11,0.67,0.00
F,2,G.Jesus,6.9,6.9,Arsenal,1,0.10,33,2.06,33,1.60,35,2.86,35,2.93,35,2.30,37,2.29,35,2.29,0.00
D,3,Gabriel,6.0,6.0,Arsenal,88,4.38,84,3.06,81,2.44,81,4.72,80,4.67,79,3.65,77,3.04,75,3.06,0.45
F,4,Havertz,8.1,8.1,Arsenal,90,5.41,83,4.20,82,3.20,81,5.68,80,5.83,79,4.43,78,4.06,78,4.24,0.01
G,5,Hein,4.0,4.0,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,6,J.Timber,5.5,5.5,Arsenal,57,2.86,50,1.87,47,1.52,47,2.72,48,2.78,45,2.10,43,1.70,45,1.85,0.00
M,7,Jorginho,4.9,4.9,Arsenal,22,0.93,19,0.76,21,0.81,23,1.04,23,1.05,24,0.99,23,0.92,26,1.03,0.00
D,8,Kiwior,4.9,4.9,Arsenal,4,0.18,6,0.22,6,0.19,6,0.29,6,0.29,7,0.29,6,0.23,7,0.27,0.00
M,9,Martinelli,7.0,7.0,Arsenal,50,3.46,43,2.52,42,2.00,44,3.45,43,3.52,42,2.69,41,2.54,41,2.55,0.00
M,10,Nelson,5.0,5.0,Arsenal,6,0.41,3,0.22,6,0.34,6,0.50,9,0.65,8,0.50,8,0.49,8,0.47,0.00
F,11,Nketiah,5.9,5.9,Nott'm Forest,32,1.91,32,1.33,36,1.65,36,1.98,36,1.57,36,1.83,33,1.67,33,1.87,0.00
M,12,Nwaneri,4.5,4.5,Arsenal,8,0.46,6,0.34,6,0.34,8,0.48,9,0.54,9,0.46,11,0.50,10,0.48,0.00
M,13,Ødegaard,8.5,8.5,Arsenal,89,5.46,88,4.41,87,3.47,85,6.22,83,6.26,85,4.84,85,4.56,85,4.60,0.03
G,14,Ramsdale,4.5,4.5,Arsenal,2,0.07,2,0.09,5,0.17,4,0.20,5,0.23,6,0.24,7,0.26,7,0.28,0.00
G,15,Raya,5.5,5.5,Arsenal,93,4.07,93,3.55,90,3.33,91,4.36,90,4.30,89,3.73,88,3.42,88,3.48,0.09
M,16,Rice,6.5,6.5,Arsenal,87,3.41,85,2.82,83,2.43,79,3.57,78,3.54,78,2.93,77,2.69,76,2.75,0.00
M,17,Saka,10.0,10.0,Arsenal,87,6.74,83,5.13,82,4.06,78,7.16,78,7.34,77,5.21,79,5.20,78,5.34,0.90
D,18,Saliba,6.0,6.0,Arsenal,92,4.11,89,2.99,86,2.35,83,4.35,82,4.32,82,3.39,83,2.95,81,2.92,0.08
M,19,Smith Rowe,5.6,5.6,Fulham,73,3.67,67,3.42,67,3.32,66,3.03,66,2.27,64,3.00,63,2.97,64,3.40,0.19
M,20,Thomas,5.0,5.0,Arsenal,54,2.09,37,1.37,34,1.16,38,1.69,36,1.63,36,1.42,36,1.34,34,1.30,0.00
D,21,Tierney,4.4,4.4,Arsenal,0,0.00,0,0.00,1,0.06,1,0.08,0,0.00,0,0.00,1,0.06,0,0.00,0.00
D,22,Tomiyasu,4.9,4.9,Arsenal,2,0.10,6,0.24,9,0.29,12,0.63,18,0.98,21,0.94,26,1.06,27,1.12,0.00
M,23,Trossard,6.9,6.9,Arsenal,57,3.84,51,2.93,52,2.37,50,4.00,52,4.24,50,3.17,49,2.88,50,3.08,0.00
D,24,White,6.5,6.5,Arsenal,87,4.11,83,2.92,79,2.34,76,4.25,75,4.21,76,3.36,77,2.93,76,2.94,0.00
D,25,Zinchenko,5.0,5.0,Arsenal,18,0.92,15,0.66,13,0.50,14,0.79,14,0.81,15,0.74,13,0.60,16,0.74,0.00
D,26,Alex Moreno,4.5,4.5,Aston Villa,54,2.46,73,1.31,71,2.07,69,3.02,69,1.61,67,2.70,68,2.71,67,2.69,0.00
F,27,Archer,5.0,5.0,Southampton,33,1.70,32,1.76,33,2.04,34,1.72,35,1.41,35,2.05,36,1.39,35,2.00,0.00
M,28,Bailey,6.5,6.5,Aston Villa,74,4.19,72,4.49,69,4.27,65,3.93,63,3.62,65,3.46,65,3.93,64,3.00,0.00
M,29,Barkley,5.4,5.4,Aston Villa,12,0.66,12,0.69,11,0.65,10,0.60,11,0.63,12,0.63,13,0.73,13,0.64,0.00
M,30,Barrenechea,5.0,5.0,Aston Villa,5,0.17,4,0.14,2,0.07,3,0.09,2,0.08,3,0.12,3,0.12,3,0.12,0.00
M,31,Buendia,5.4,5.4,Aston Villa,7,0.51,8,0.58,8,0.60,8,0.59,9,0.59,11,0.66,11,0.69,10,0.57,0.00
D,32,Cash,4.5,4.5,Aston Villa,0,0.00,26,1.35,54,2.72,64,2.94,62,2.58,63,2.54,62,2.83,57,1.64,0.00
M,33,Dendoncker,4.5,4.5,Aston Villa,6,0.31,6,0.31,4,0.22,4,0.21,4,0.21,4,0.20,5,0.26,4,0.20,0.00
M,34,Diaby,6.5,6.5,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,35,Diego Carlos,4.5,4.5,Aston Villa,36,1.47,30,1.34,26,1.17,23,0.97,24,0.86,24,0.88,25,1.03,25,0.65,0.00
D,36,Digne,4.5,4.5,Aston Villa,70,3.24,58,3.09,50,2.63,49,2.39,49,2.13,51,2.16,47,2.32,46,1.45,0.00
M,37,Dobbin,5.0,5.0,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,38,Duran,6.0,6.0,Aston Villa,27,1.72,28,1.84,27,1.85,27,1.84,29,1.80,30,1.74,31,2.03,32,1.67,0.00
G,39,Gauci,4.0,4.0,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,40,Hause,4.0,4.0,Aston Villa,2,0.05,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,41,Iling Jr,5.4,5.4,Aston Villa,7,0.44,6,0.43,6,0.45,7,0.49,8,0.50,8,0.46,8,0.55,9,0.51,0.00
M,42,Kamara,5.0,5.0,Aston Villa,0,0.00,29,1.00,58,1.86,66,2.06,65,1.96,64,1.87,66,2.03,63,1.71,0.00
D,43,Kesler-Hayden,4.0,4.0,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,44,Konsa,4.5,4.5,Aston Villa,90,3.42,87,3.86,84,3.68,83,3.29,84,2.92,83,2.92,81,3.21,82,1.90,0.60
D,45,Maatsen,5.0,5.0,Aston Villa,31,1.39,41,2.12,47,2.46,48,2.27,48,2.09,47,1.97,49,2.30,50,1.50,0.00
G,46,Marschall,4.0,4.0,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,47,Martinez,5.0,5.0,Aston Villa,94,3.82,93,3.88,92,3.84,93,3.74,92,3.45,91,3.50,92,3.64,91,3.14,0.00
M,48,McGinn,5.5,5.5,Aston Villa,82,3.40,79,3.55,77,3.55,76,3.32,76,3.17,74,2.96,77,3.35,75,2.65,0.00
D,49,Mings,4.5,4.5,Aston Villa,0,0.00,10,0.41,18,0.79,24,0.98,22,0.81,23,0.84,25,1.04,23,0.61,0.00
D,50,Nedeljkovic,4.0,4.0,Aston Villa,65,2.71,47,2.25,27,1.25,20,0.87,24,0.97,22,0.89,24,1.02,27,0.81,0.00
G,51,Olsen,4.5,4.5,Aston Villa,0,0.00,2,0.10,3,0.12,2,0.09,3,0.12,4,0.15,3,0.12,4,0.14,0.00
D,52,Pau,4.5,4.5,Aston Villa,82,3.19,76,3.37,70,3.00,67,2.65,65,2.32,65,2.26,65,2.58,67,1.60,0.00
M,53,Ramsey,5.5,5.5,Aston Villa,31,1.67,34,1.97,33,1.92,33,1.82,33,1.76,34,1.70,32,1.79,34,1.55,0.00
M,54,Rogers,5.0,5.0,Aston Villa,78,3.97,76,4.23,73,4.03,73,3.86,71,3.65,71,3.31,70,3.78,69,2.94,0.32
G,55,Sinisalo,4.0,4.0,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,56,Sousa,4.0,4.0,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,57,Tielemans,5.5,5.5,Aston Villa,60,2.73,58,2.84,57,2.90,56,2.58,57,2.58,54,2.31,52,2.49,56,2.17,0.00
F,58,Watkins,9.0,9.0,Aston Villa,86,5.09,83,5.51,82,5.39,82,5.22,81,4.85,79,4.40,79,5.01,78,3.84,0.00
D,59,Aarons,4.5,4.5,Bournemouth,21,0.78,24,0.77,25,0.52,27,1.24,27,1.02,29,0.78,30,0.82,30,0.75,0.00
M,60,Adams,5.0,5.0,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,19,0.55,0.00
M,61,Anthony,4.5,4.5,Bournemouth,3,0.21,2,0.18,3,0.19,3,0.28,4,0.28,4,0.24,5,0.34,5,0.31,0.00
M,62,Brooks,5.0,5.0,Bournemouth,2,0.15,6,0.43,8,0.42,7,0.50,8,0.51,8,0.43,9,0.48,9,0.47,0.00
M,63,Christie,5.0,5.0,Bournemouth,48,1.87,49,1.87,48,1.55,46,2.08,48,1.90,48,1.58,48,1.68,44,1.47,0.00
M,64,Cook,5.0,5.0,Bournemouth,89,2.59,83,2.39,81,2.04,81,2.80,78,2.37,77,2.04,78,2.08,75,1.94,0.00
F,65,Enes Ünal,5.4,5.4,Bournemouth,0,0.00,17,1.04,35,1.68,43,3.04,43,2.58,44,2.01,41,2.07,42,1.90,0.00
M,66,Faivre,5.0,5.0,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,67,H.Traorè,4.5,4.5,Bournemouth,6,0.42,7,0.45,7,0.38,6,0.46,8,0.52,9,0.46,9,0.48,10,0.50,0.00
D,68,Hill,4.0,4.0,Bournemouth,0,0.00,0,0.00,0,0.00,2,0.05,2,0.05,2,0.04,3,0.06,3,0.05,0.00
F,69,Jebbison,4.5,4.5,Bournemouth,4,0.35,3,0.25,2,0.13,2,0.23,1,0.13,2,0.13,2,0.13,3,0.18,0.01
D,70,Kerkez,4.5,4.5,Bournemouth,77,2.76,72,2.12,72,1.24,71,3.18,68,2.58,69,1.66,68,1.78,67,1.54,0.00
M,71,Kluivert,5.4,5.4,Bournemouth,51,2.68,47,2.50,46,1.96,43,2.84,46,2.55,44,1.91,43,1.99,42,1.87,0.00
D,72,Mepham,4.5,4.5,Bournemouth,0,0.00,2,0.06,3,0.05,5,0.17,5,0.14,6,0.13,7,0.16,7,0.15,0.00
G,73,Neto,4.5,4.5,Bournemouth,90,3.34,87,2.94,87,2.77,86,3.38,85,3.20,84,2.72,84,2.82,83,2.63,0.00
M,74,O.Dango,5.0,5.0,Bournemouth,39,2.01,40,1.98,37,1.55,37,2.23,39,2.02,38,1.57,39,1.70,37,1.55,0.00
G,75,Paulsen,4.0,4.0,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.01
M,76,Philip,5.0,5.0,Bournemouth,20,0.99,22,1.06,24,0.97,27,1.47,26,1.26,29,1.15,28,1.20,24,1.00,0.00
M,77,Scott,5.0,5.0,Bournemouth,63,2.37,62,2.23,62,1.92,60,2.57,60,2.24,59,1.91,59,1.96,55,1.77,0.00
M,78,Semenyo,5.5,5.5,Bournemouth,66,3.29,62,3.08,61,2.40,59,3.57,60,3.06,58,2.33,60,2.53,59,2.36,0.00
D,79,Senesi,4.9,4.9,Bournemouth,84,2.83,85,2.25,82,1.16,79,3.30,79,2.74,79,1.69,76,1.81,74,1.54,0.00
M,80,Sinisterra,5.0,5.0,Bournemouth,45,2.32,43,2.23,43,1.77,42,2.58,42,2.23,41,1.73,41,1.84,40,1.69,0.00
D,81,Smith,4.5,4.5,Bournemouth,43,1.52,43,1.26,44,0.79,39,1.66,43,1.51,42,1.03,40,1.07,40,0.96,0.00
F,82,Solanke,7.5,7.5,Spurs,28,1.66,50,2.42,75,5.13,76,4.04,73,3.90,73,4.97,74,3.91,73,4.41,0.03
M,83,Tavernier,5.5,5.5,Bournemouth,61,3.02,60,2.91,57,2.23,58,3.45,56,2.81,56,2.26,54,2.34,55,2.21,0.00
G,84,Travers,4.5,4.5,Bournemouth,5,0.20,8,0.27,8,0.24,9,0.37,10,0.39,10,0.34,10,0.35,11,0.37,0.00
D,85,Zabarnyi,4.5,4.5,Bournemouth,87,2.60,85,1.99,83,1.04,81,2.97,80,2.46,80,1.55,77,1.62,77,1.40,0.00
D,86,Ajer,4.5,4.5,Brentford,68,2.79,43,0.68,33,0.74,32,1.14,29,1.17,31,0.82,34,1.44,33,1.06,0.00
M,87,Brierley,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,88,Collins,4.5,4.5,Brentford,70,2.74,66,0.83,59,1.07,57,1.87,61,2.28,59,1.30,58,2.34,57,1.66,0.00
M,89,Damsgaard,5.0,5.0,Brentford,45,2.19,41,1.38,43,1.62,44,2.01,43,2.01,44,1.71,44,2.16,45,1.82,0.00
M,90,Dasilva,4.9,4.9,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,5,0.25,11,0.57,12,0.57,0.00
G,91,Flekken,4.5,4.5,Brentford,94,3.78,93,3.06,93,3.09,92,3.41,92,3.62,91,3.11,91,3.68,91,3.35,0.24
D,92,Henry,4.4,4.4,Brentford,23,0.99,80,1.14,77,1.54,75,2.70,73,2.96,72,1.77,73,3.28,73,2.28,0.00
D,93,Hickey,4.5,4.5,Brentford,0,0.00,35,0.49,66,1.23,74,2.47,73,2.84,74,1.69,72,3.07,71,2.13,0.00
M,94,Janelt,5.0,5.0,Brentford,75,2.71,70,1.84,68,1.96,67,2.28,67,2.36,67,2.00,67,2.52,63,2.03,0.00
M,95,Jensen,5.5,5.5,Brentford,70,3.01,66,1.91,64,2.11,63,2.49,62,2.56,61,2.10,59,2.56,61,2.17,0.00
D,96,Ji-soo,4.0,4.0,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,97,Konak,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,98,Lewis-Potter,5.0,5.0,Brentford,42,2.19,19,0.82,18,0.91,20,1.17,22,1.29,24,1.17,22,1.36,23,1.19,0.00
M,99,Mbeumo,7.0,7.0,Brentford,85,6.06,81,2.91,78,3.48,77,4.62,77,4.67,76,3.60,76,5.16,76,3.83,0.00
D,100,Mee,4.5,4.5,Brentford,34,1.56,48,0.74,57,1.19,56,2.01,54,2.20,56,1.39,55,2.45,56,1.82,0.00
M,101,Nørgaard,5.0,5.0,Brentford,83,2.92,79,1.96,76,2.08,75,2.45,74,2.50,74,2.08,69,2.53,69,2.09,0.00
M,102,Onyeka,5.0,5.0,Brentford,24,1.13,22,0.83,24,0.93,25,1.07,27,1.15,27,1.00,27,1.21,28,1.07,0.00
M,103,Peart-Harris,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,104,Pinnock,4.5,4.5,Brentford,87,3.53,81,1.03,80,1.47,79,2.63,78,2.99,76,1.71,75,3.15,74,2.20,0.00
D,105,Roerslev,4.5,4.5,Brentford,61,2.70,32,0.64,17,0.46,13,0.50,15,0.63,13,0.41,16,0.71,15,0.52,0.00
M,106,Schade,5.5,5.5,Brentford,40,2.41,29,1.20,30,1.43,31,1.71,31,1.76,32,1.51,31,1.90,33,1.58,0.00
F,107,Thiago,6.0,6.0,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,108,Toney,7.4,7.4,Brentford,12,0.83,52,1.88,55,2.46,51,3.06,48,2.93,46,2.16,49,3.27,47,2.36,0.00
G,109,Valdimarsson,4.0,4.0,Brentford,1,0.04,2,0.06,2,0.08,3,0.10,3,0.11,3,0.12,4,0.15,4,0.13,0.45
F,110,Wissa,6.0,6.0,Brentford,71,4.22,53,1.90,50,2.15,52,2.83,53,2.89,53,2.37,52,3.16,51,2.40,0.00
M,111,Yarmoliuk,4.5,4.5,Brentford,8,0.44,8,0.36,11,0.45,11,0.49,12,0.53,11,0.47,12,0.56,11,0.46,0.00
D,112,Zanka,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,113,Adingra,5.5,5.5,Brighton,20,0.90,18,1.25,17,1.10,18,0.92,18,1.03,20,1.07,20,1.29,19,0.94,0.00
M,114,Baker-Boaitey,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,115,Baleba,5.0,5.0,Brighton,51,1.44,60,2.21,58,2.04,57,1.66,59,1.87,57,1.74,56,1.98,55,1.53,0.00
D,116,Barco,4.0,4.0,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.38
M,117,Buonanotte,5.0,5.0,Leicester,41,1.73,42,1.63,41,1.88,41,1.39,43,1.92,42,1.84,43,1.92,39,1.73,0.00
M,118,Cozier-Duberry,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,119,Dahoud,4.9,4.9,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,0.09,0.00
D,120,Dunk,4.5,4.5,Brighton,92,1.61,89,4.41,87,3.83,85,1.95,85,2.65,84,2.26,86,3.87,85,1.49,0.31
M,121,Enciso,5.4,5.4,Brighton,13,0.60,13,0.87,13,0.81,14,0.76,15,0.89,16,0.89,16,1.01,17,0.83,0.00
D,122,Estupiñan,5.0,5.0,Brighton,25,0.67,69,3.92,65,3.25,64,1.82,63,2.38,61,2.01,60,3.09,61,1.42,0.00
F,123,Ferguson,5.5,5.5,Brighton,8,0.37,21,1.60,23,1.65,23,1.33,24,1.51,24,1.42,24,1.65,25,1.27,0.00
M,124,Gilmour,5.0,5.0,Brighton,26,0.91,24,1.07,25,1.06,25,0.91,25,1.00,27,0.99,28,1.15,27,0.95,0.00
M,125,Gross,6.5,6.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,126,Hinshelwood,5.0,5.0,Brighton,48,1.41,25,1.14,27,1.13,26,0.94,28,1.09,27,1.00,28,1.21,30,1.00,0.00
M,127,I.Osman,5.0,5.0,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,128,Igor,4.5,4.5,Brighton,10,0.23,8,0.33,10,0.37,12,0.30,12,0.37,13,0.37,14,0.58,13,0.29,0.00
F,129,João Pedro,5.5,5.5,Brighton,76,3.11,73,5.48,68,4.47,68,3.49,68,3.98,66,3.63,66,4.54,65,3.05,0.49
M,130,Kozlowski,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,131,Lamptey,4.5,4.5,Brighton,14,0.42,8,0.46,7,0.37,7,0.31,9,0.37,8,0.34,10,0.47,10,0.31,0.00
M,132,March,6.5,6.5,Brighton,0,0.00,11,0.75,23,1.49,25,1.31,26,1.52,26,1.38,27,1.69,25,1.19,0.00
M,133,Mazilu,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,134,Milner,5.0,5.0,Brighton,27,0.98,23,1.07,23,1.05,23,0.92,24,0.99,25,1.00,27,1.17,26,0.96,0.00
M,135,Minteh,5.5,5.5,Brighton,74,2.72,68,4.53,67,4.00,64,2.88,63,3.39,62,3.06,62,3.78,61,2.54,0.05
M,136,Mitoma,6.6,6.6,Brighton,82,2.75,79,4.67,76,4.12,75,3.04,74,3.49,73,3.17,69,3.78,71,2.67,0.00
M,137,Moder,4.5,4.5,Brighton,3,0.19,3,0.23,3,0.20,4,0.23,3,0.22,4,0.24,5,0.35,5,0.29,0.00
